username,link,tweet_time,content,bookmark_count,favorite_count,quote_count,reply_count,retweet_count
binancezh,https://x.com/binancezh/status/2001280237368447055,Wed Dec 17 13:16:05 +0000 2025,"🔥币安华语加密电台正在直播中！

本期特邀币安合约聪明钱榜一 @0xPickleCati 来到直播间 🧑‍🏫

直播传送门：https://www.binance.com/zh-CN/square/audio?_ul=aHR0cHM6Ly9hcHAuYmluYW5jZS5jb20vdW5pLXFyL2NzcGEvMzM1NjQ1MDk0NDczMzA_cj1VRU9XTFRGNyZ1Yz13ZWJfc3F1YXJlX3NoYXJlX2xpbmsmdXM9Y29weWxpbmsmbD16aC1DTg&id=33564509447330&ref=UEOWLTF7&utm_campaign=web_square_share_link&utm_source=copylink",0,21,1,12,2
binancezh,https://x.com/binancezh/status/2001263547960172790,Wed Dec 17 12:09:46 +0000 2025,Day 524，👀因为帕鲁总忍不住囤BNB ，所以帕鲁是好人。因为人支出，性本善！#NFA #DYOR https://pbs.twimg.com/media/G8XqUb2akAEKft9.jpg,2,69,4,64,11
binancezh,https://x.com/binancezh/status/2001249538628313544,Wed Dec 17 11:14:06 +0000 2025,"🚀「Web3 Loan」链上借贷功能正式上线

告别多页面借贷来回切换，轻松玩转链上抵押和借款仅需一个 #币安钱包 Web3 Loan就够

解锁新流动性，探索更多收益可能，尽在Web3 Loan链上借贷！

查看更多 👉https://www.binance.com/cn/support/announcement/detail/89d3d6e8ed2045cf901adbfadbfaf935 https://pbs.twimg.com/media/G8XZsVLa4AAAsXp.jpg",4,49,10,21,7
binancezh,https://x.com/binancezh/status/2001234265300930952,Wed Dec 17 10:13:24 +0000 2025,"币安 Alpha 将在 12 月 18 日成为首个上线 VOOI (VOOI) 的平台！ 

符合条件的用户可于 Alpha 交易开放后，前往 Alpha 活动页面使用币安 Alpha 积分领取空投。具体详情将另行公布。 

敬请关注币安官方渠道，及时获取活动最新动态。 https://pbs.twimg.com/media/G8XJL80boAE_lrz.jpg",1,76,4,52,8
binancezh,https://x.com/binancezh/status/2001223804732002380,Wed Dec 17 09:31:50 +0000 2025,"币安 Alpha 将在 12 月 18 日成为首个上线 AgentLISA (LISA) 的平台！ 

符合条件的用户可于 Alpha 交易开放后，前往 Alpha 活动页面使用币安 Alpha 积分领取空投。具体详情将另行公布。 

敬请关注币安官方渠道，及时获取活动最新动态。 https://pbs.twimg.com/media/G8XDW8pa4AIKXof.jpg",3,53,2,53,5
binancezh,https://x.com/binancezh/status/2001203717618729103,Wed Dec 17 08:12:01 +0000 2025,"📅 12月17日 至 12月21日主播介绍及时间安排：

钱多多:《盘面解读》周三14:00，直播间分析超级大牛市何时到来，现货合约应该怎么配置？
https://www.binance.com/zh-CN/square/audio?id=33739824266218
努力扫链的琳:《扫链叙事分析》周三20:30，如何识别大金狗扑捉大金狗机会？直播间手把手一起扫链！
https://www.binance.com/zh-CN/square/audio?id=33734202551066
白哥eth:《白哥课堂》周四19:00，学习仓位管理，如何不被爆仓，做到稳定盈利，新手避坑指南！
        https://www.binance.com/zh-CN/square/audio?id=33774355883225
火牛2025:《盘面解读》周五20:00，一起学习机构订单原理和清算数据帮我们更好的做交易！
https://www.binance.com/zh-CN/square/audio?id=33740852088225
豆豆BTC:《小白变形记》周六晚21:00，豆豆教你们如何从一个交易小白变成交易天才的整个过程，让你们开单不在恐惧！
https://www.binance.com/zh-CN/square/audio?id=33725764088218
B哥复盘笔记:《拒绝高频》周日20:00，耐心等待机会介入市场财神正确的打开方式！
https://www.binance.com/zh-CN/square/audio?id=33784082865458

报名成为一名币安广场主播👇
https://www.binance.com/en/survey/c7baaf0efd294dddb6d9282e256474d3",3,9,10,4,2
binancezh,https://x.com/binancezh/status/2001203714422411466,Wed Dec 17 08:12:00 +0000 2025,"#币安广场 本周交易直播预告来了🙋

🔥每日交易直播大碰撞，技巧互动乐不停！

精选优质交易主播，聚焦潮流行情🔭和高手们一起火力全开，玩转交易新高度！

查看&amp;订阅全部直播信息⬇️ https://pbs.twimg.com/media/G8WwLUeagAAoucO.jpg",1,26,1,22,2
binancezh,https://x.com/binancezh/status/2001187447087227215,Wed Dec 17 07:07:22 +0000 2025,"币安 Alpha 将在 12 月 19 日成为首个上线 zkPass (ZKP) 的平台！ 

符合条件的用户可于 Alpha 交易开放后，前往 Alpha 活动页面使用币安 Alpha 积分领取空投。具体详情将另行公布。 

敬请关注币安官方渠道，及时获取活动最新动态。 https://pbs.twimg.com/media/G8WdwXsa4AUamju.jpg",5,88,8,64,11
binancezh,https://x.com/binancezh/status/2001175525394723161,Wed Dec 17 06:19:59 +0000 2025,"⚠️社区警示：谨防冒充币安的欺诈第三方！

🙅币安不认可或使用任何上币第三方中介，也不会收取任何上币费以及上币相关费用！

使用中介将被立即取消上币资格并被列入黑名单❌

我们重视并鼓励社区持续监督，举报邮箱：audit@binance.com

币安上币流程及黑名单✅https://www.binance.com/zh-CN/support/announcement/detail/305c55a531004eb094b838ba7740c98a https://pbs.twimg.com/media/G8WahxebcAACjKH.jpg",9,72,9,48,16
binancezh,https://x.com/binancezh/status/2001170799139676289,Wed Dec 17 06:01:13 +0000 2025,币安 Alpha 积分大于等于 225 的用户，可通过 Alpha 活动页面参与本次 TGE 活动。参与该活动将消耗 15 积分。,0,16,4,42,0
binancezh,https://x.com/binancezh/status/2001141552983494940,Wed Dec 17 04:05:00 +0000 2025,"📢我们将于12月17日对现货交易平台进行系统升级及 UTF-8 编码测试。

🔹 重要提示：本次升级不会影响现货交易或任何相关功能。
🔹 测试期间，用户可能会看到一些测试代币和测试交易对出现。这是正常且常规的。请注意，任何链上创建的、名称相同或相似的代币均非币安官方支持。

⚠️ 请注意，交易前需自行研究！",11,166,80,123,40
binancezh,https://x.com/binancezh/status/2001115201916322063,Wed Dec 17 02:20:17 +0000 2025,GM🧶尝试一点新材质： https://pbs.twimg.com/media/G8VjhQcboAAhT0e.jpg,3,139,3,119,17
