username,link,tweet_time,content,bookmark_count,favorite_count,quote_count,reply_count,retweet_count
VitalikButerin,https://x.com/VitalikButerin/status/2004575793750355971,Fri Dec 26 15:31:27 +0000 2025,"This is what I worry Europe will get negatively polarized into: an ideology taking pride in a neat, sanitized online environment free of evil corporate and fascist pathogens.

I hope European govs do not go this way, and instead take a Pirate Party approach of user empowerment.

First, what's wrong with the tweet I'm quoting:

The idea that there should be ""no space"" for something you dislike is fundamentally a totalitarian and anti-pluralistic impulse. It's incompatible with being in an environment that you do not fully control.

This is especially true for categories that are subjective and controversial, because you end up trying to fully remove things you think are pathogens, when other people have good faith disagreements, and because you give yourself the maximalist goal of not even giving them breathing room, you create conflict and end up building the machinery of technocratic authoritarianism to impose your victory in the conflict.

So sorry, if you want to be a free society, you have to bite the bullet that some people, somewhere, will be selling things that you consider dangerous and saying things you consider disinformation and vicious lies.

What is the goal to shoot for?

You want to create an environment where those things don't dominate. This is the problem with twitter today: not that it's a safe space where 1000 people talk to each other in a corner about how heritage americans are the master race and putin is good or whatever, but that that crap gets shoved in our face on a mass scale, and the algorithms actively favor it.

The right metaphor is not castles and walls, but biological - think, why European forests don't have tropical lizards.

Having incentives for social media platforms to have less of those things instead of more is fundamentally reasonable, @audreyt has talked about how Taiwan has done something similar.

You also want to do this in a way where it's clear what the underlying principle is, so it's not a vehicle for imposing arbitrary and frequently changing expert-consensus agendas.

You also want to empower users, rather than working against them. People want to see and buy good things instead of bad things. Often the problem is that competition is too difficult in the current market. I actually supported the USB-C standardization mandate; it created more interoperability and thus improved competition and convenience. I would support incentivizing social platforms to be more open, and to be more transparent (eg. my proposal to require algorithms to be continuously published with a 1-2 year delay, with zk-proofs to ensure that the algorithm being used in real time exactly equals the one that gets published later)

Being able to better identify what messages are coming from what communities is also good, though I don't support the direction of banning anonymity of individual posters, rather I would want to see more macro-scale analytics, eg. seeing what communities are most strongly saying and amplifying content that semantically matches a particular idea; this can be done in privacy-preserving ways.

There is a real opportunity to reaffirm freedom of speech in a unique and different way, that emphasizes pluralism and pushes against unbalanced attempts to manipulate the discourse by individual powerful actors. We want to do this, not go down the dark path of having something that claims to support fundamental rights but actually is not trusted by anyone to be anything other than the fundamental right to follow the footsteps of a few technocratic experts.",1176,4829,127,580,787
VitalikButerin,https://x.com/VitalikButerin/status/2004124313679548708,Thu Dec 25 09:37:25 +0000 2025,"The easy ability to call @grok on twitter is probably the biggest thing after community notes that has been positive for the truth-friendliness of this platform.

The fact that you don't see ahead of time how grok will respond is key here - I've seen many situations where someone calls on grok expecting their crazy political belief to be confirmed and grok comes along and rugs them.",411,10499,119,1035,913
brian_armstrong,https://x.com/brian_armstrong/status/2005071657036333104,Sun Dec 28 00:21:50 +0000 2025,"True - when you leave money with good capital allocators, you tend to get more good results (for everyone)

If you want better outcomes for everyone, you have to accept some inequality of outcomes",11,431,2,111,21
brian_armstrong,https://x.com/brian_armstrong/status/2005070798114202074,Sun Dec 28 00:18:25 +0000 2025,.@base is built for stablecoin payments,16,626,7,169,57
brian_armstrong,https://x.com/brian_armstrong/status/2005063731689238662,Sat Dec 27 23:50:20 +0000 2025,Exactly - terrible take from @RoKhanna,82,1703,4,92,53
brian_armstrong,https://x.com/brian_armstrong/status/2005005383224754205,Sat Dec 27 19:58:29 +0000 2025,"Thanks to all the traders that came out to SF for our product showcase event!

Always good to spend time with you, and we appreciate your feedback to help us make trading on Coinbase the best experience possible https://pbs.twimg.com/media/G9M1u1aWsAEWsXo.jpg",28,600,5,160,30
brian_armstrong,https://x.com/brian_armstrong/status/2004693396074758287,Fri Dec 26 23:18:45 +0000 2025,"Exactly - I’m actually impressed the banks can lobby for this with a straight face and not get kicked out of senator’s offices. It takes some serious mental gymnastics.

We won’t let anyone reopen GENIUS. Red line issue for us. And will keep advocating for our customers and the crypto industry.

My prediction is the banks will actually flip and be lobbying FOR the ability to pay interest and yield on stablecoins in a few years, once they realize how big the opportunity is for them. So it’s 100% wasted effort on their part (in addition to being unethical).

The innovators dilemma is undefeated.",489,4104,42,294,601
brian_armstrong,https://x.com/brian_armstrong/status/2004681541851742389,Fri Dec 26 22:31:39 +0000 2025,Full episode: https://x.com/tetranow/status/2003841842618499212,250,348,3,28,28
brian_armstrong,https://x.com/brian_armstrong/status/2004681537003159823,Fri Dec 26 22:31:38 +0000 2025,"Had a great chat with @RickRubin about crypto and entrepreneurship recently.

The podcast just went live, link below. https://pbs.twimg.com/media/G9IPMRVW0AANBEY.jpg",512,3687,48,343,146
brian_armstrong,https://x.com/brian_armstrong/status/2004676092507168909,Fri Dec 26 22:10:00 +0000 2025,"I remember when people said “in a world of social media, who is going to do the investigative journalism”.

It seems new media is stepping up.",790,20331,43,322,1827
brian_armstrong,https://x.com/brian_armstrong/status/2004642333363765609,Fri Dec 26 19:55:51 +0000 2025,Hire for agency,893,3273,27,169,179
brian_armstrong,https://x.com/brian_armstrong/status/2004583231165780024,Fri Dec 26 16:01:00 +0000 2025,"We have zero tolerance for bad behavior and will continue to work with law enforcement to bring bad actors to justice. 

Thanks to the Hyderabad Police in India, an ex-Coinbase customer service agent was just arrested. Another one down and more still to come.",579,8179,255,1530,397
brian_armstrong,https://x.com/brian_armstrong/status/2004296317661859956,Thu Dec 25 21:00:54 +0000 2025,https://pbs.twimg.com/media/G9Cw1WrXoAAd5q6.jpg,59,1970,42,404,161
brian_armstrong,https://x.com/brian_armstrong/status/2004249965363974377,Thu Dec 25 17:56:43 +0000 2025,Merry Christmas!,58,4587,12,530,135
